시간,종목코드,매수/매도,가격,수량,사유,수익률
2025-09-01 11:29:23,064260,매도,8950,37,RSI과매수,0.00%
2025-09-01 11:29:24,054540,매도,9500,35,RSI과매수,0.00%
2025-09-01 11:29:24,064260,매수,8960,37,"RSI:75.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:29:27,201490,매도,5930,56,RSI과매수,0.00%
2025-09-01 11:29:29,484590,매수,18200,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:29:33,201490,매수,5930,56,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:30:24,064260,매도,8920,37,RSI과매수,-0.45%
2025-09-01 11:30:27,097230,매수,21150,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:30:29,484590,매도,18230,18,RSI과매수,0.16%
2025-09-01 11:30:33,064260,매수,8920,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:30:49,097230,매도,21200,15,RSI과매수,0.24%
2025-09-01 11:30:51,097230,매수,21150,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:31:21,064260,매도,8920,37,RSI과매수,0.00%
2025-09-01 11:31:23,441270,매수,12260,27,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:31:40,097230,매도,21200,15,RSI과매수,0.24%
2025-09-01 11:31:41,484590,매수,18190,18,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:31:49,441270,매도,12290,27,RSI과매수,0.24%
2025-09-01 11:31:50,097230,매수,21200,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:32:34,054540,매수,9520,35,테스트매수-거래량급증(RSI:N/A),0.00%
2025-09-01 11:32:35,064260,매수,8910,37,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:32:45,484590,매수,18160,18,"RSI:20.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:32:50,484590,매도,18190,18,RSI과매수,0.17%
2025-09-01 11:32:52,097230,매수,21200,15,"RSI:53.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:32:56,064260,매도,8890,37,RSI과매수,-0.22%
2025-09-01 11:32:57,441270,매수,12270,27,"RSI:50.0, MA돌파, 거래량급증",0.00%
